Merian	Freq
M5	8
M7	7
M1	5
M2	4
M6	12
M4	9
MZ	30
M22	7
M13	13
M24	13
M18	7
M23	10
M9	6
M25	15
M19	11
M29	21
M27	10
M31	17
M30	19
M26	13
M12	8
M3	4
M8	5
M10	7
M16	7
M15	3
M14	9
M11	5
M28	9
M21	5
M17.M20	5
