BLG	Merian	matches	total_BLG	total_Merian	prop_BLG	prop_Merian
M	MZ	6	32	38	18.75	15.7894736842105
N	M1	10	37	65	27.027027027027	15.3846153846154
N	M10	0	37	38	0	0
N	M11	0	37	35	0	0
N	M12	0	37	30	0	0
N	M13	0	37	32	0	0
N	M14	0	37	23	0	0
N	M15	0	37	33	0	0
N	M16	0	37	33	0	0
N	M17	12	37	27	32.4324324324324	44.4444444444444
N	M18	5	37	20	13.5135135135135	25
N	M19	0	37	25	0	0
N	M2	7	37	47	18.9189189189189	14.8936170212766
N	M20	0	37	22	0	0
N	M21	1	37	25	2.7027027027027	4
N	M22	0	37	31	0	0
N	M23	0	37	23	0	0
N	M24	0	37	12	0	0
N	M25	0	37	9	0	0
N	M26	0	37	2	0	0
N	M27	0	37	8	0	0
N	M28	0	37	10	0	0
N	M29	0	37	13	0	0
N	M3	0	37	57	0	0
N	M30	0	37	5	0	0
N	M31	0	37	4	0	0
N	M4	1	37	40	2.7027027027027	2.5
N	M5	1	37	46	2.7027027027027	2.17391304347826
N	M6	0	37	36	0	0
N	M7	0	37	46	0	0
N	M8	0	37	38	0	0
N	M9	0	37	43	0	0
N	MZ	0	37	38	0	0
O1	M1	0	24	65	0	0
O1	M10	0	24	38	0	0
O1	M11	2	24	35	8.33333333333333	5.71428571428571
O1	M12	0	24	30	0	0
O1	M13	2	24	32	8.33333333333333	6.25
O1	M14	0	24	23	0	0
O1	M15	0	24	33	0	0
O1	M16	1	24	33	4.16666666666667	3.03030303030303
O1	M17	1	24	27	4.16666666666667	3.7037037037037
O1	M18	0	24	20	0	0
O1	M19	0	24	25	0	0
O1	M2	0	24	47	0	0
O1	M20	1	24	22	4.16666666666667	4.54545454545455
O1	M21	0	24	25	0	0
O1	M22	0	24	31	0	0
O1	M23	4	24	23	16.6666666666667	17.3913043478261
O1	M24	0	24	12	0	0
O1	M25	0	24	9	0	0
O1	M26	0	24	2	0	0
O1	M27	0	24	8	0	0
O1	M28	0	24	10	0	0
O1	M29	1	24	13	4.16666666666667	7.69230769230769
O1	M3	0	24	57	0	0
O1	M30	0	24	5	0	0
O1	M31	0	24	4	0	0
O1	M4	0	24	40	0	0
O1	M5	0	24	46	0	0
O1	M6	1	24	36	4.16666666666667	2.77777777777778
O1	M7	0	24	46	0	0
O1	M8	7	24	38	29.1666666666667	18.4210526315789
O1	M9	1	24	43	4.16666666666667	2.32558139534884
O1	MZ	3	24	38	12.5	7.89473684210526
O2	M1	0	19	65	0	0
O2	M10	1	19	38	5.26315789473684	2.63157894736842
O2	M11	0	19	35	0	0
O2	M12	0	19	30	0	0
O2	M13	2	19	32	10.5263157894737	6.25
O2	M14	0	19	23	0	0
O2	M15	0	19	33	0	0
O2	M16	0	19	33	0	0
O2	M17	1	19	27	5.26315789473684	3.7037037037037
O2	M18	0	19	20	0	0
O2	M19	0	19	25	0	0
O2	M2	0	19	47	0	0
O2	M20	1	19	22	5.26315789473684	4.54545454545455
O2	M21	0	19	25	0	0
O2	M22	0	19	31	0	0
O2	M23	2	19	23	10.5263157894737	8.69565217391304
O2	M24	0	19	12	0	0
O2	M25	0	19	9	0	0
O2	M26	0	19	2	0	0
O2	M27	0	19	8	0	0
O2	M28	0	19	10	0	0
O2	M29	2	19	13	10.5263157894737	15.3846153846154
O2	M3	1	19	57	5.26315789473684	1.75438596491228
O2	M30	0	19	5	0	0
O2	M31	0	19	4	0	0
O2	M4	0	19	40	0	0
O2	M5	0	19	46	0	0
O2	M6	0	19	36	0	0
O2	M7	1	19	46	5.26315789473684	2.17391304347826
O2	M8	6	19	38	31.5789473684211	15.7894736842105
O2	M9	1	19	43	5.26315789473684	2.32558139534884
O2	MZ	1	19	38	5.26315789473684	2.63157894736842
P	M1	2	28	65	7.14285714285714	3.07692307692308
P	M10	1	28	38	3.57142857142857	2.63157894736842
P	M11	0	28	35	0	0
P	M12	0	28	30	0	0
P	M13	1	28	32	3.57142857142857	3.125
P	M14	0	28	23	0	0
P	M15	2	28	33	7.14285714285714	6.06060606060606
P	M16	0	28	33	0	0
P	M17	2	28	27	7.14285714285714	7.40740740740741
P	M18	1	28	20	3.57142857142857	5
P	M19	0	28	25	0	0
P	M2	0	28	47	0	0
P	M20	0	28	22	0	0
P	M21	0	28	25	0	0
P	M22	0	28	31	0	0
P	M23	0	28	23	0	0
P	M24	0	28	12	0	0
P	M25	0	28	9	0	0
P	M26	0	28	2	0	0
P	M27	0	28	8	0	0
P	M28	0	28	10	0	0
P	M29	0	28	13	0	0
P	M3	8	28	57	28.5714285714286	14.0350877192982
P	M30	0	28	5	0	0
P	M31	0	28	4	0	0
P	M4	0	28	40	0	0
P	M5	1	28	46	3.57142857142857	2.17391304347826
P	M6	6	28	36	21.4285714285714	16.6666666666667
P	M7	0	28	46	0	0
P	M8	1	28	38	3.57142857142857	2.63157894736842
P	M9	0	28	43	0	0
P	MZ	3	28	38	10.7142857142857	7.89473684210526
QaxQb	M1	0	15	65	0	0
QaxQb	M10	0	15	38	0	0
QaxQb	M11	0	15	35	0	0
QaxQb	M12	5	15	30	33.3333333333333	16.6666666666667
QaxQb	M13	0	15	32	0	0
QaxQb	M14	0	15	23	0	0
QaxQb	M15	3	15	33	20	9.09090909090909
QaxQb	M16	0	15	33	0	0
QaxQb	M17	0	15	27	0	0
QaxQb	M18	1	15	20	6.66666666666667	5
QaxQb	M19	0	15	25	0	0
QaxQb	M2	0	15	47	0	0
QaxQb	M20	0	15	22	0	0
QaxQb	M21	0	15	25	0	0
QaxQb	M22	0	15	31	0	0
QaxQb	M23	0	15	23	0	0
QaxQb	M24	0	15	12	0	0
QaxQb	M25	0	15	9	0	0
QaxQb	M26	0	15	2	0	0
QaxQb	M27	0	15	8	0	0
QaxQb	M28	0	15	10	0	0
QaxQb	M29	0	15	13	0	0
QaxQb	M3	0	15	57	0	0
QaxQb	M30	1	15	5	6.66666666666667	20
QaxQb	M31	0	15	4	0	0
QaxQb	M4	0	15	40	0	0
QaxQb	M5	2	15	46	13.3333333333333	4.34782608695652
QaxQb	M6	0	15	36	0	0
QaxQb	M7	0	15	46	0	0
QaxQb	M8	0	15	38	0	0
QaxQb	M9	3	15	43	20	6.97674418604651
QaxQb	MZ	0	15	38	0	0
QcxQd	M1	0	14	65	0	0
QcxQd	M10	0	14	38	0	0
QcxQd	M11	0	14	35	0	0
QcxQd	M12	4	14	30	28.5714285714286	13.3333333333333
QcxQd	M13	0	14	32	0	0
QcxQd	M14	0	14	23	0	0
QcxQd	M15	3	14	33	21.4285714285714	9.09090909090909
QcxQd	M16	0	14	33	0	0
QcxQd	M17	0	14	27	0	0
QcxQd	M18	0	14	20	0	0
QcxQd	M19	0	14	25	0	0
QcxQd	M2	0	14	47	0	0
QcxQd	M20	0	14	22	0	0
QcxQd	M21	0	14	25	0	0
QcxQd	M22	1	14	31	7.14285714285714	3.2258064516129
QcxQd	M23	0	14	23	0	0
QcxQd	M24	0	14	12	0	0
QcxQd	M25	0	14	9	0	0
QcxQd	M26	0	14	2	0	0
QcxQd	M27	0	14	8	0	0
QcxQd	M28	0	14	10	0	0
QcxQd	M29	0	14	13	0	0
QcxQd	M3	0	14	57	0	0
QcxQd	M30	0	14	5	0	0
QcxQd	M31	0	14	4	0	0
QcxQd	M4	0	14	40	0	0
QcxQd	M5	1	14	46	7.14285714285714	2.17391304347826
QcxQd	M6	0	14	36	0	0
QcxQd	M7	0	14	46	0	0
QcxQd	M8	0	14	38	0	0
QcxQd	M9	5	14	43	35.7142857142857	11.6279069767442
QcxQd	MZ	0	14	38	0	0
R	M1	2	7	65	28.5714285714286	3.07692307692308
R	M10	0	7	38	0	0
R	M11	0	7	35	0	0
R	M12	0	7	30	0	0
R	M13	0	7	32	0	0
R	M14	0	7	23	0	0
R	M15	2	7	33	28.5714285714286	6.06060606060606
R	M16	0	7	33	0	0
R	M17	0	7	27	0	0
R	M18	0	7	20	0	0
R	M19	0	7	25	0	0
R	M2	0	7	47	0	0
R	M20	0	7	22	0	0
R	M21	0	7	25	0	0
R	M22	1	7	31	14.2857142857143	3.2258064516129
R	M23	0	7	23	0	0
R	M24	0	7	12	0	0
R	M25	0	7	9	0	0
R	M26	0	7	2	0	0
R	M27	0	7	8	0	0
R	M28	0	7	10	0	0
R	M29	0	7	13	0	0
R	M3	0	7	57	0	0
R	M30	0	7	5	0	0
R	M31	0	7	4	0	0
R	M4	1	7	40	14.2857142857143	2.5
R	M5	1	7	46	14.2857142857143	2.17391304347826
R	M6	0	7	36	0	0
R	M7	0	7	46	0	0
R	M8	0	7	38	0	0
R	M9	0	7	43	0	0
R	MZ	0	7	38	0	0
