Merians	Tips	Child_node	Event
M18,M26	Apotomis_betuletana, Apotomis_turbidana, Cydia_splendana, Epinotia_nisella, Grapholita_molesta, Hedya_salicella, Leguminivora_glycinivorella, Notocelia_uddmanniana, Pammene_fasciana	n22	fusion
M4,MZ	Aricia_agestis, Aricia_artaxerxes	n227	fusion
M11,M4	Chloroclysta_siterata, Thera_britannica	n303	fusion
M28,M31	Chloroclysta_siterata, Thera_britannica	n303	fusion
M26,MZ	Eilema_depressum, Eilema_sororcula	n305	fusion
M13,MZ	Agonopterix_arenella, Agonopterix_subpropinquella, Blastobasis_adustella, Blastobasis_lacticolella, Carcina_quercana	n45	fusion
M17,M20	Abrostola_tripartita, Acentria_ephemerella, Acleris_emargana, Acleris_sparsana, Acrobasis_suavella, Acronicta_aceris, Agonopterix_arenella, Agonopterix_subpropinquella, Agriopis_aurantiaria, Agriopis_marginaria, Agriphila_geniculea, Agriphila_tristella, Agrochola_circellaris, Agrochola_macilenta, Agrotis_puta, Allophyes_oxyacanthae, Amphipyra_berbera, Amphipyra_tragopoginis, Anthocharis_cardamines, Apamea_monoglypha, Aphantopus_hyperantus, Aplocera_efformata, Aporophyla_lueneburgensis, Apotomis_betuletana, Apotomis_turbidana, Aricia_agestis, Aricia_artaxerxes, Atethmia_centrago, Autographa_gamma, Autographa_pulchrina, Bembecia_ichneumoniformis, Biston_betularia, Blastobasis_adustella, Blastobasis_lacticolella, Boloria_selene, Bombyx_mori, Brachylomia_viminalis, Calamotropha_paludella, Campaea_margaritaria, Caradrina_clavipalpis, Carcina_quercana, Carposina_sasakii, Carterocephalus_palaemon, Catocala_fraxini, Celastrina_argiolus, Chloroclysta_siterata, Chrysoteuchia_culmella, Clostera_curtula, Colias_croceus, Cosmia_trapezina, Craniophora_ligustri, Crocallis_elinguaria, Cyaniris_semiargus, Cydia_splendana, Danaus_plexippus_plexippus, Deilephila_porcellus, Dendrolimus_kikuchii, Dendrolimus_punctatus, Diachrysia_chrysitis, Diarsia_rubi, Dryas_iulia_moderata, Dryobotodes_eremita, Ecliptopera_silaceata, Ectropis_grisescens, Eilema_depressum, Eilema_sororcula, Emmelina_monodactyla, Endotricha_flammealis, Ennomos_fuscantarius, Ennomos_quercinarius, Ephestia_elutella, Epinotia_nisella, Erannis_defoliaria, Erebia_aethiops, Erebia_ligea, Erynnis_tages, Euclidia_mi, Eueides_isabella, Eulithis_prunata, Eupithecia_abbreviata, Eupithecia_centaureata, Euplexia_lucipara, Euproctis_similis, Eupsilia_transversa, Fabriciana_adippe, Furcula_furcula, Glaucopsyche_alexis, Grapholita_molesta, Griposia_aprilina, Gymnoscelis_rufifasciata, Habrosyne_pyritoides, Hecatera_dysodea, Hedya_salicella, Heliconius_sara, Helicoverpa_zea, Hemaris_fuciformis, Hesperia_comma, Hestina_assimilis, Hipparchia_semele, Hydraecia_micacea, Hydriomena_furcata, Hylaea_fasciaria, Hyles_euphorbiae, Hyles_vespertilio, Hypena_proboscidalis, Hypsopygia_costalis, Idaea_aversata, Inachis_io, Iphiclides_podalirius, Laothoe_populi, Lasiommata_megera, Laspeyria_flexula, Leguminivora_glycinivorella, Limenitis_camilla, Lobophora_halterata, Luperina_testacea, Lycaena_phlaeas, Lymantria_monacha, Macaria_notata, Mamestra_brassicae, Manduca_sexta, Maniola_jurtina, Marasmarcha_lunaedactyla, Marasmia_exigua, Meganola_albula, Melanargia_galathea, Melitaea_cinxia, Mellicta_athalia, Mesoligia_furuncula, Miltochrista_miniata, Mimas_tiliae, Mythimna_albipuncta, Mythimna_ferrago, Mythimna_impura, Mythimna_separata, Noctua_fimbriata, Noctua_janthe, Noctua_pronuba, Notocelia_uddmanniana, Notodonta_dromedarius, Notodonta_ziczac, Nymphalis_polychloros, Nymphalis_urticae, Ochlodes_sylvanus, Ochropleura_plecta, Omphaloscelis_lunosa, Opisthograptis_luteolata, Orgyia_antiqua, Pammene_fasciana, Pandemis_cinnamomeana, Papilio_machaon, Parapoynx_stratiotata, Pararge_aegeria, Peribatodes_rhomboidaria, Phalera_bucephala, Pheosia_gnoma, Pheosia_tremula, Phlogophora_meticulosa, Phragmatobia_fuliginosa, Plebejus_argus, Plutella_xylostella, Polyommatus_icarus, Protodeltote_pygarga, Ptilodon_capucinus, Pyrgus_malvae, Schrankia_costaestrigalis, Selenia_dentaria, Sesia_apiformis, Sesia_bembeciformis, Spilarctia_lutea, Spilosoma_lubricipeda, Spodoptera_exigua, Spodoptera_frugiperda, Spodoptera_litura, Stenoptilia_bipunctidactyla, Synanthedon_andrenaeformis, Synanthedon_myopaeformis, Synanthedon_vespiformis, Thera_britannica, Tholera_decimalis, Thyatira_batis, Thymelicus_sylvestris, Tinea_trinotella, Vanessa_atalanta, Vanessa_cardui, Watsonalla_binaria, Xestia_c-nigrum, Xestia_sexstrigata, Xestia_xanthographa, Xylocampa_areola, Yponomeuta_sedellus, Ypsolopha_scabrella, Ypsolopha_sequella, Zeuzera_pyrina, Zygaena_filipendulae	n6	fusion
M25,M29	Iphiclides_podalirius, Papilio_machaon	n64	fusion
M22,MZ	Marasmarcha_lunaedactyla, Stenoptilia_bipunctidactyla	n78	fusion
M5,M7	Orgyia_antiqua	Orgyia_antiqua	fusion
M1,M2	Orgyia_antiqua	Orgyia_antiqua	fusion
M12,M3	Orgyia_antiqua	Orgyia_antiqua	fusion
M19,M8	Orgyia_antiqua	Orgyia_antiqua	fusion
M10,M4	Orgyia_antiqua	Orgyia_antiqua	fusion
M16,M9	Orgyia_antiqua	Orgyia_antiqua	fusion
M31,M6	Orgyia_antiqua	Orgyia_antiqua	fusion
M23,M28	Orgyia_antiqua	Orgyia_antiqua	fusion
M13,M26	Orgyia_antiqua	Orgyia_antiqua	fusion
M11,M22	Orgyia_antiqua	Orgyia_antiqua	fusion
M15,M18	Orgyia_antiqua	Orgyia_antiqua	fusion
M14,M21	Orgyia_antiqua	Orgyia_antiqua	fusion
M24,M30,MZ	Orgyia_antiqua	Orgyia_antiqua	fusion
M17,M20,M25,M27,M29	Orgyia_antiqua	Orgyia_antiqua	fusion
[('M24', 'M30'), ('M24', 'MZ'), ('M30', 'MZ')]	Orgyia_antiqua	Orgyia_antiqua	fusion
[('M25', 'M27'), ('M25', 'M29'), ('M27', 'M29')]	Orgyia_antiqua	Orgyia_antiqua	fusion
[('M25', 'M27'), ('M25', 'M29'), ('M27', 'M29')]	Orgyia_antiqua	Orgyia_antiqua	fusion
M29,M31	Parapoynx_stratiotata	Parapoynx_stratiotata	fusion
M23,M25	Pararge_aegeria	Pararge_aegeria	fusion
M22,MZ	Phalera_bucephala	Phalera_bucephala	fusion
M19,M22,M24,MZ	Phragmatobia_fuliginosa	Phragmatobia_fuliginosa	fusion
[('M19', 'M22'), ('M19', 'M24'), ('M19', 'MZ'), ('M22', 'M24'), ('M22', 'MZ'), ('M24', 'MZ')]	Phragmatobia_fuliginosa	Phragmatobia_fuliginosa	fusion
[('M19', 'M22'), ('M19', 'M24'), ('M19', 'MZ'), ('M22', 'M24'), ('M22', 'MZ'), ('M24', 'MZ')]	Phragmatobia_fuliginosa	Phragmatobia_fuliginosa	fusion
M13,M28,M31	Plebejus_argus	Plebejus_argus	fusion
